rom,tile_index,image_path
About 8 Eyes (R) (PD),0,tiles/About 8 Eyes (R) (PD)_tile0.png
About 8 Eyes (R) (PD),1,tiles/About 8 Eyes (R) (PD)_tile1.png
About 8 Eyes (R) (PD),2,tiles/About 8 Eyes (R) (PD)_tile2.png
About 8 Eyes (R) (PD),3,tiles/About 8 Eyes (R) (PD)_tile3.png
About 8 Eyes (R) (PD),4,tiles/About 8 Eyes (R) (PD)_tile4.png
About 8 Eyes (R) (PD),5,tiles/About 8 Eyes (R) (PD)_tile5.png
About 8 Eyes (R) (PD),6,tiles/About 8 Eyes (R) (PD)_tile6.png
About 8 Eyes (R) (PD),7,tiles/About 8 Eyes (R) (PD)_tile7.png
About 8 Eyes (R) (PD),8,tiles/About 8 Eyes (R) (PD)_tile8.png
About 8 Eyes (R) (PD),9,tiles/About 8 Eyes (R) (PD)_tile9.png
About 8 Eyes (R) (PD),10,tiles/About 8 Eyes (R) (PD)_tile10.png
About 8 Eyes (R) (PD),11,tiles/About 8 Eyes (R) (PD)_tile11.png
About 8 Eyes (R) (PD),12,tiles/About 8 Eyes (R) (PD)_tile12.png
About 8 Eyes (R) (PD),13,tiles/About 8 Eyes (R) (PD)_tile13.png
About 8 Eyes (R) (PD),14,tiles/About 8 Eyes (R) (PD)_tile14.png
About 8 Eyes (R) (PD),15,tiles/About 8 Eyes (R) (PD)_tile15.png
About 8 Eyes (R) (PD),16,tiles/About 8 Eyes (R) (PD)_tile16.png
About 8 Eyes (R) (PD),17,tiles/About 8 Eyes (R) (PD)_tile17.png
About 8 Eyes (R) (PD),18,tiles/About 8 Eyes (R) (PD)_tile18.png
About 8 Eyes (R) (PD),19,tiles/About 8 Eyes (R) (PD)_tile19.png
About 8 Eyes (R) (PD),20,tiles/About 8 Eyes (R) (PD)_tile20.png
About 8 Eyes (R) (PD),21,tiles/About 8 Eyes (R) (PD)_tile21.png
About 8 Eyes (R) (PD),22,tiles/About 8 Eyes (R) (PD)_tile22.png
About 8 Eyes (R) (PD),23,tiles/About 8 Eyes (R) (PD)_tile23.png
About 8 Eyes (R) (PD),24,tiles/About 8 Eyes (R) (PD)_tile24.png
About 8 Eyes (R) (PD),25,tiles/About 8 Eyes (R) (PD)_tile25.png
About 8 Eyes (R) (PD),26,tiles/About 8 Eyes (R) (PD)_tile26.png
About 8 Eyes (R) (PD),27,tiles/About 8 Eyes (R) (PD)_tile27.png
About 8 Eyes (R) (PD),28,tiles/About 8 Eyes (R) (PD)_tile28.png
About 8 Eyes (R) (PD),29,tiles/About 8 Eyes (R) (PD)_tile29.png
About 8 Eyes (R) (PD),30,tiles/About 8 Eyes (R) (PD)_tile30.png
About 8 Eyes (R) (PD),31,tiles/About 8 Eyes (R) (PD)_tile31.png
About 8 Eyes (R) (PD),32,tiles/About 8 Eyes (R) (PD)_tile32.png
About 8 Eyes (R) (PD),33,tiles/About 8 Eyes (R) (PD)_tile33.png
About 8 Eyes (R) (PD),34,tiles/About 8 Eyes (R) (PD)_tile34.png
About 8 Eyes (R) (PD),35,tiles/About 8 Eyes (R) (PD)_tile35.png
About 8 Eyes (R) (PD),36,tiles/About 8 Eyes (R) (PD)_tile36.png
About 8 Eyes (R) (PD),37,tiles/About 8 Eyes (R) (PD)_tile37.png
